,Waktu,Temp1,Temp2,Humid 1,Humid 2,Baterai,Temp outdoor,Humidity outdoor
7186,2025-11-17 15:26:20+07:00,,,,,,26.0,93.5
7187,2025-11-17 15:26:36+07:00,,,,,,26.0,93.6
7188,2025-11-17 15:26:52+07:00,,,,,,25.9,93.7
7189,2025-11-17 15:27:08+07:00,,,,,,25.9,93.8
7190,2025-11-17 15:27:24+07:00,,,,,,25.9,93.9
7191,2025-11-17 15:27:41+07:00,,,,,,25.9,94.1
7192,2025-11-17 15:27:57+07:00,,,,,,25.8,94.1
7193,2025-11-17 15:28:13+07:00,,,,,,25.8,94.2
7194,2025-11-17 15:28:29+07:00,,,,,,25.8,94.3
7195,2025-11-17 15:28:46+07:00,,,,,,25.8,94.3
7196,2025-11-17 15:29:02+07:00,,,,,,25.8,94.4
7197,2025-11-17 15:29:18+07:00,,,,,,25.8,94.4
7198,2025-11-17 15:29:34+07:00,,,,,,25.8,94.3
7199,2025-11-17 15:29:50+07:00,,,,,,25.8,94.4
7200,2025-11-17 15:30:06+07:00,,,,,,25.8,94.4
7201,2025-11-17 15:30:22+07:00,,,,,,25.8,94.5
7202,2025-11-17 15:30:38+07:00,,,,,,25.7,94.6
7203,2025-11-17 15:30:54+07:00,,,,,,25.7,94.7
7204,2025-11-17 15:31:10+07:00,,,,,,25.7,94.8
7205,2025-11-17 15:50:04+07:00,,,,,,26.2,95.8
7206,2025-11-17 15:50:20+07:00,,,,,,26.5,94.0
7207,2025-11-17 15:50:36+07:00,,,,,,26.6,93.3
7208,2025-11-17 15:50:52+07:00,,,,,,26.8,93.3
7209,2025-11-17 15:51:08+07:00,,,,,,26.9,92.2
7210,2025-11-17 15:51:24+07:00,,,,,,26.9,92.0
7211,2025-11-17 15:51:40+07:00,,,,,,27.0,91.9
7212,2025-11-17 15:51:56+07:00,,,,,,27.1,91.3
7213,2025-11-17 15:52:13+07:00,,,,,,27.1,91.1
7214,2025-11-17 15:52:29+07:00,,,,,,27.1,91.9
7215,2025-11-17 15:52:45+07:00,,,,,,27.2,90.4
7216,2025-11-17 15:53:01+07:00,,,,,,27.2,89.3
7217,2025-11-17 15:53:17+07:00,,,,,,27.1,89.7
7218,2025-11-17 15:53:33+07:00,,,,,,27.0,89.5
7219,2025-11-17 15:53:49+07:00,,,,,,26.8,89.7
7220,2025-11-17 15:54:05+07:00,,,,,,26.7,90.1
7221,2025-11-17 15:54:21+07:00,,,,,,26.6,90.5
7222,2025-11-17 15:54:37+07:00,,,,,,26.5,91.0
7223,2025-11-17 15:54:53+07:00,,,,,,26.4,91.4
7224,2025-11-17 15:55:09+07:00,,,,,,26.3,91.7
7225,2025-11-17 15:55:25+07:00,,,,,,26.2,92.1
7226,2025-11-17 15:55:41+07:00,,,,,,26.1,92.3
7227,2025-11-17 15:55:57+07:00,,,,,,26.0,92.5
7228,2025-11-17 15:56:13+07:00,,,,,,26.0,92.8
7229,2025-11-17 15:56:29+07:00,,,,,,25.9,93.0
7230,2025-11-17 15:56:45+07:00,,,,,,25.9,93.2
7231,2025-11-17 15:57:01+07:00,,,,,,25.9,93.3
7232,2025-11-17 15:57:17+07:00,,,,,,25.8,93.5
7233,2025-11-17 15:57:33+07:00,,,,,,25.8,93.6
7234,2025-11-17 15:57:49+07:00,,,,,,25.8,93.8
7235,2025-11-17 15:58:05+07:00,,,,,,25.7,93.9
7236,2025-11-17 15:58:21+07:00,,,,,,25.7,94.0
7237,2025-11-17 15:58:37+07:00,,,,,,25.7,94.2
7238,2025-11-17 15:58:53+07:00,,,,,,25.6,94.4
7239,2025-11-17 15:59:09+07:00,,,,,,25.6,94.4
7240,2025-11-17 15:59:25+07:00,,,,,,25.6,94.6
7241,2025-11-17 15:59:41+07:00,,,,,,25.5,94.7
7242,2025-11-17 15:59:57+07:00,,,,,,25.5,94.8
7243,2025-11-17 16:00:13+07:00,,,,,,25.5,94.8
7244,2025-11-17 16:00:29+07:00,,,,,,25.5,94.9
7245,2025-11-17 16:00:45+07:00,,,,,,25.5,95.0
7246,2025-11-17 16:01:01+07:00,,,,,,25.5,95.0
7247,2025-11-17 16:01:17+07:00,,,,,,25.5,95.1
7248,2025-11-17 16:01:33+07:00,,,,,,25.5,95.1
7249,2025-11-17 16:01:49+07:00,,,,,,25.5,95.1
7250,2025-11-17 16:02:05+07:00,,,,,,25.5,95.2
7251,2025-11-17 16:02:21+07:00,,,,,,25.5,95.2
7252,2025-11-17 16:02:37+07:00,,,,,,25.4,95.3
7253,2025-11-17 16:02:53+07:00,,,,,,25.4,95.3
